,folder_name,file_name,studies,psms_all,psms_FDR,psms_quantified_all,psms_quantified_FDR,peptideGroups_all,peptideGroups_FDR,proteins_all,proteins_FDR,proteins_FDR_min2,proteinGroups_all,proteinGroups_FDR,proteinGroups_FDR_min2
1,Chimerys,210129_wwDDA_10ug_60min_IW1-(2).pdResult,1.4,348059,139280,104883,99025,201842,70222,7973,7175,5881,7241,6544,5948
6,Chimerys,210129_wwDDA_10ug_60min_IW3-(2).pdResult,3.4,540783,204620,158525,147250,251951,75573,8122,7141,5999,7410,6561,6064
7,Chimerys,210129_wwDDA_10ug_60min_IW6-(2).pdResult,6.4,669408,251494,206715,190872,265880,68954,7694,6787,5685,7018,6231,5744
8,Chimerys,210129_wwDDA_10ug_60min_IW8-(2).pdResult,8.4,708306,264544,224530,206930,265169,63343,7473,6484,5413,6792,5973,5472
2,Chimerys,210129_wwDDA_10ug_60min_IW10-(2).pdResult,10.4,741649,271317,236469,216944,264357,58413,7188,6312,5183,6557,5811,5245
3,Chimerys,210129_wwDDA_10ug_60min_IW12-(2).pdResult,12.4,758744,275165,244001,223736,259165,53392,6893,6034,4906,6307,5562,4961
4,Chimerys,210129_wwDDA_10ug_60min_IW15-(2).pdResult,15.4,786144,280733,255132,233298,254895,48346,6578,5820,4635,6015,5351,4693
5,Chimerys,210129_wwDDA_10ug_60min_IW20-(2).pdResult,20.4,803082,276909,259489,236616,248217,40894,6137,5345,4099,5561,4883,4167
