,folder_name,file_name,studies,psms_all,psms_FDR,psms_quantified_all,psms_quantified_FDR,peptideGroups_all,peptideGroups_FDR,proteins_all,proteins_FDR,proteins_FDR_min2,proteinGroups_all,proteinGroups_FDR,proteinGroups_FDR_min2
1,Sequest,210129_wwDDA_10ug_60min_IW1-(3).pdResult,1.4,62030,45109,41292,40858,54298,38520,5733,5349,3852,5126,4805,3921
6,Sequest,210129_wwDDA_10ug_60min_IW3-(3).pdResult,3.4,60522,41507,38297,37718,53342,35512,5574,5238,3723,5006,4719,3786
7,Sequest,210129_wwDDA_10ug_60min_IW6-(3).pdResult,6.4,57719,34782,32585,31897,51892,30317,5280,4946,3471,4749,4471,3526
8,Sequest,210129_wwDDA_10ug_60min_IW8-(3).pdResult,8.4,56236,30851,29143,28451,51079,27119,5084,4666,3258,4563,4218,3320
2,Sequest,210129_wwDDA_10ug_60min_IW10-(3).pdResult,10.4,54631,27224,25943,25200,49984,24123,4838,4463,3076,4330,4048,3136
3,Sequest,210129_wwDDA_10ug_60min_IW12-(3).pdResult,12.4,53311,24554,23400,22691,48991,21749,4666,4329,2914,4176,3899,2971
4,Sequest,210129_wwDDA_10ug_60min_IW15-(3).pdResult,15.4,51929,20547,19889,19099,47969,18456,4369,4028,2645,3962,3696,2694
5,Sequest,210129_wwDDA_10ug_60min_IW20-(3).pdResult,20.4,49591,16184,15806,15124,46203,14623,3905,3621,2243,3536,3297,2308
