order,study_folder,study_file,raw_file,sample_name
45,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_01_1,noFaims-res-15k-118ms-2th-1ov_1
46,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_01_2,noFaims-res-15k-118ms-2th-1ov_2
47,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_02_1,noFaims-res-30k-118ms-2th-1ov_1
48,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_02_2,noFaims-res-30k-118ms-2th-1ov_2
49,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_03_1,noFaims-res-60k-118ms-2th-1ov_1
50,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_03_2,noFaims-res-60k-118ms-2th-1ov_2
51,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_04_1,noFaims-res-120k-118ms-2th-1ov_1
52,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_04_2,noFaims-res-120k-118ms-2th-1ov_2
53,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_05_1,noFaims-res-15k-118ms-6th-1ov_1
54,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_05_2,noFaims-res-15k-118ms-6th-1ov_2
55,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_06_1,noFaims-res-30k-118ms-6th-1ov_1
56,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_06_2,noFaims-res-30k-118ms-6th-1ov_2
57,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_07_1,noFaims-res-60k-118ms-6th-1ov_1
58,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_07_2,noFaims-res-60k-118ms-6th-1ov_2
59,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_08_1,noFaims-res-120k-118ms-6th-1ov_1
60,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_08_2,noFaims-res-120k-118ms-6th-1ov_2
61,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_09_1,noFaims-it-60k-20ms-2th-1ov_1
62,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_09_2,noFaims-it-60k-20ms-2th-1ov_2
63,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_10_1,noFaims-it-60k-60ms-2th-1ov_1
64,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_10_2,noFaims-it-60k-60ms-2th-1ov_2
65,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_12_1,noFaims-it-60k-180ms-2th-1ov_1
66,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_12_2,noFaims-it-60k-180ms-2th-1ov_2
67,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_13_1,noFaims-it-60k-360ms-2th-1ov_1
68,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_13_2,noFaims-it-60k-360ms-2th-1ov_2
69,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_14_1,noFaims-it-60k-20ms-1th-0.5ov_1
70,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_14_2,noFaims-it-60k-20ms-1th-0.5ov_2
71,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_15_1,noFaims-it-60k-60ms-1th-0.5ov_1
72,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_15_2,noFaims-it-60k-60ms-1th-0.5ov_2
73,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_17_1,noFaims-it-60k-180ms-1th-0.5ov_1
74,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_17_2,noFaims-it-60k-180ms-1th-0.5ov_2
75,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_18_1,noFaims-it-60k-360ms-1th-0.5ov_1
76,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_18_2,noFaims-it-60k-360ms-1th-0.5ov_2
77,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_20_1,noFaims-iw-60k-118ms-3th-1ov_1
78,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_20_2,noFaims-iw-60k-118ms-3th-1ov_2
