order,study_folder,study_file,raw_file,sample_name
39,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_24_1,faims-ov-60k-118ms-12th-6ov_1
40,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_24_2,faims-ov-60k-118ms-12th-6ov_2
41,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_25_1,faims-ov-60k-118ms-6th-4ov_1
42,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_25_2,faims-ov-60k-118ms-6th-4ov_2
43,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_26_1,faims-ov-60k-118ms-12th-8ov_1
44,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190405_MCF7_FAIMS_26_2,faims-ov-60k-118ms-12th-8ov_2
45,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_01_1,noFaims-res-15k-118ms-2th-1ov_1
46,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_01_2,noFaims-res-15k-118ms-2th-1ov_2
47,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_02_1,noFaims-res-30k-118ms-2th-1ov_1
48,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_02_2,noFaims-res-30k-118ms-2th-1ov_2
49,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_03_1,noFaims-res-60k-118ms-2th-1ov_1
50,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_03_2,noFaims-res-60k-118ms-2th-1ov_2
51,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_04_1,noFaims-res-120k-118ms-2th-1ov_1
52,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_04_2,noFaims-res-120k-118ms-2th-1ov_2
53,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_05_1,noFaims-res-15k-118ms-6th-1ov_1
