order,study_folder,study_file,raw_file,sample_name
1,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01,CondA_1
2,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02,CondA_2
3,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03,CondA_3
4,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01,CondB_1
5,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02,CondB_2
6,Chimerys,20240517_lfq_dia_z1to4_v2x7x9_apex_True.pdResult,LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03,CondB_3
